,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
49,49,@BBC,"🐶🏄 Forget doggy paddling, doggy paddleboarding is where it's at! https://t.co/z3jrX70USU",-0.2942,0.0,0.18,0.82
50,50,@BBC,Meet the biggest puppet in the UK. https://t.co/Tjr3AdLmIr,0.0,0.0,0.0,1.0
51,51,@BBC,More than 200 hairy competitors from around the world have been taking part in the British Beard and Moustache Cham… https://t.co/ADoWxUNNwG,0.0,0.0,0.0,1.0
52,52,@BBC,RT @bbcpress: Writers and directors confirmed for new #DoctorWho series: https://t.co/JiqbWACtAp https://t.co/dEJePm2wZf,0.0,0.0,0.0,1.0
53,53,@BBC,"🗣 From 'autofiction' to 'catfishing', here are 14 words that define the present. 
👉 https://t.co/4eRmRJIkR9 https://t.co/ldFvdZi0gT",0.0,0.0,0.0,1.0
54,54,@BBC,☀️ More of England's hidden history has been revealed thanks to the recent hot weather.  https://t.co/e6vipmru3u,0.4404,0.162,0.0,0.838
55,55,@BBC,"New Zealand's minister for women has cycled to hospital to give birth to her first child at 42 weeks.
👉… https://t.co/OKIxYGEx0R",0.0,0.0,0.0,1.0
56,56,@BBC,"RT @BBCOne: NEWS JUST IN: TV is dead. 

@LennyHenry https://t.co/93ghd2BH3z",-0.6486,0.0,0.323,0.677
57,57,@BBC,"💉 Surgeons have warned about the health risks of Botox and fillers, after a High Street retailer said it would star… https://t.co/NStvRRCUn5",-0.4939,0.0,0.189,0.811
58,58,@BBC,"RT @BBCR1: And we're off! 🚀✨

Here are @GregJames' very first words on brand new Breakfast and the all-important first song to be played on…",0.4003,0.101,0.0,0.899
59,59,@BBC,Has this Ugandan engineer come up with a way to help the world’s food crisis by using leftover garden waste?… https://t.co/WWamdCD8RR,-0.34,0.109,0.165,0.726
60,60,@BBC,"🥦 Scientists say they have discovered why some vegetables - including cabbage, broccoli and kale - can reduce the r… https://t.co/o5hkGPCUjE",0.0,0.0,0.0,1.0
61,61,@BBC,💕 These flamingos are some pretty proud foster parents. https://t.co/2TYmLZOS2q,0.743,0.474,0.0,0.526
62,62,@BBC,"🚗🚙🚗🚙 Four celebrity duos join a group of classic car enthusiasts on an endurance rally from Thailand to Vietnam, ex… https://t.co/3znbBS00o5",0.5574,0.204,0.0,0.796
63,63,@BBC,"Could these sketches be early works from one of France's finest artists?

#FakeOrFortune | 9pm | @BBCOne https://t.co/KwEm0tnXV7",0.0,0.0,0.0,1.0
64,64,@BBC,😍 The geometric patterns created by Jupiter's polar storms are absolutely stunning. https://t.co/XB0YKxQdsS,0.5984,0.329,0.0,0.671
